record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,call_type,codec,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20251029132502000001,REGISTER,SUCCESS,2025-10-29,13:25:02,13:25:02,WlodaWGDj-rE2dvkuAh6yg..,sip:1002@192.168.8.126,1002,192.168.8.120,48494,,,,,,,200,OK,,,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:48494;rinstance=cd280ee0e3fcfe40;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251029132524000002,REGISTER,SUCCESS,2025-10-29,13:25:24,13:25:24,xMjMVwoc6PYEE2353GKkmQ..,sip:1004@192.168.8.126,1004,192.168.8.129,5960,,,,,,,200,OK,,,,,,,,PortSIP UC Client iOS - v12.4.1,sip:1004@192.168.8.129:5960,90,,192.168.8.126,5060,17 REGISTER,
20251029132553000003,REGISTER,SUCCESS,2025-10-29,13:25:53,13:25:53,77BQyksQ-elzg3bGWwUyyQ..,sip:1007@192.168.8.126,1007,192.168.8.120,8044,,,,,,,200,OK,,,,,,,,PortSIP UC Client  Android - v13.0.1,sip:1007@192.168.8.120:8044,300,,192.168.8.126,5060,14 REGISTER,
20251029132629000005,CALL,ENDED,2025-10-29,13:26:29,13:26:40,0QhM81F6pBbeJ-9GL1FuRw..,<sip:1004@192.168.8.126>;tag=f5735576,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,6.08,4.60s,200,OK,Normal,13:26:29.698,,13:26:34.302,13:26:40.382,AUDIO,"opus, G729, PCMA, PCMU, telephone-event",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,2 BYE,
20251029132714000008,CALL,ENDED,2025-10-29,13:27:14,13:27:43,Yd7-20s1dYz6ANs_Milsug..,<sip:1007@192.168.8.126>;tag=edd7c51f,1007,192.168.8.120,8044,<sip:1004@192.168.8.126>,1004,192.168.8.129,5960,24.89,4.19s,200,OK,Normal,13:27:14.857,,13:27:19.046,13:27:43.935,AUDIO+VIDEO,"G729, PCMA, PCMU, opus, telephone-event, H264, VP8, VP9",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,2 BYE,
20251029133143000018,CALL,ENDED,2025-10-29,13:31:43,13:32:20,WHlnqwftqc1an7uaLvfRBQ..,<sip:1004@192.168.8.126>;tag=52fa1d24,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,35.05,1.85s,200,OK,Normal,13:31:43.698,,13:31:45.551,13:32:20.603,AUDIO,"opus, G729, PCMA, PCMU, telephone-event",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,3 BYE,
20251029133601000028,CALL,ENDED,2025-10-29,13:36:01,13:36:45,KbELhFwqJLbBgz_gJKsRhg..,<sip:1004@192.168.8.126>;tag=2c373a45,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,42.36,1.62s,200,OK,Normal,13:36:01.522,,13:36:03.145,13:36:45.507,AUDIO,"opus, G729, PCMA, PCMU, telephone-event",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,3 BYE,
20251029133953000037,MESSAGE,COMPLETED,2025-10-29,13:39:53,13:39:53,rWNHKCRfrg9QZad_yeu4vw..-4 MESSAGE,<sip:1007@192.168.8.126>;tag=cd6d4467,1007,192.168.8.120,8044,<sip:1004@192.168.8.126>,1004,,,,,200,OK,,,,,,,,PortSIP UC Client  Android - v13.0.1,,,打开了,192.168.8.126,5060,4 MESSAGE,
