record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20251027211051000027,MESSAGE,COMPLETED,2025-10-27,21:10:51,21:10:51,-ERJ13HhUYJk6gF2PeJ4Eg..-2 MESSAGE,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=0c0dca29",1001,192.168.8.129,57446,<sip:1002@192.168.8.126;transport=UDP>,1002,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,,,摸摸你,192.168.8.126,5060,2 MESSAGE,
20251027211059000028,MESSAGE,COMPLETED,2025-10-27,21:10:59,21:10:59,Boq0_VpCO6G65jK4LIH41w..-3 MESSAGE,<sip:1002@192.168.8.126;transport=UDP>;tag=4b66a933,1002,192.168.8.120,41303,<sip:1001@192.168.8.126;transport=UDP>,1001,,,,,200,OK,,,,,,Zoiper v2.10.20.11,,,Jjjj ,192.168.8.126,5060,3 MESSAGE,
20251027214638000015,MESSAGE,COMPLETED,2025-10-27,21:46:38,21:46:38,NoMduclUzZH3VuQTcD6Nfw..-2 MESSAGE,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=a36c2f3c",1001,192.168.8.129,57446,<sip:1002@192.168.8.126;transport=UDP>,1002,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,,,哈哈哈,192.168.8.126,5060,2 MESSAGE,
